comment_count,content,forward_count,id,keyword,like_count,posted_at,url,user
10,【钢铁板块4月份有望迎来阶段性反弹】需求阶段性放量，供应端增量有限，钢材去库存速度加快，4月份有望迎来阶段性反弹。建议关注相关标的：华菱钢铁(000932)、南钢股份(600282)和宝钢股份(600019)。钢铁板块4月份有望迎来阶段性反弹 ​​​,21,Ga4p7qc3x,600019,23,2018年04月01日 14:27,https://weibo.cn/comment/Ga4p7qc3x?uid=1801487174&rl=1,东方财富网
1,"$上证指数 sh000001$$创业板指 sz399006$ #今日看盘##微博股票#：今天市场四大指数全线低开，低开后多头基本上没有任何动作，空头大肆施展拳脚，今天大象们全线撕咬，杀伤力还是比较强的。$鞍钢股份 sz000898$ $宝钢股份 sh600019$ $$中国石化 sh600028$ $中国石油 sh601857$ $海螺水泥 sh600585$ $山西汾酒 sh600809$ $五粮液 sz000858$ $贵州茅台 sh600519$ $泸州老窖 sz000568$ $酒鬼酒 sz000799$ $洋河股份 sz002304$ $青岛海尔 sh600690$ $格力电器 sz000651$ $上汽集团 sh600104$ $华域汽车 sh600741$ $王府井 sh600859$ $中国联通 sh600050$ $中国国航 sh601111$ $南方航空 sh600029$ $东方航空 sh600115$ $上海机场 sh600009$ $平安银行 sz000001$ $建设银行 sh601939$ $浦发银行 sh600000$ $华夏银行 sh600015$ $$中国平安 sh601318$ $新华保险 sh601336$ $万科Ａ sz000002$ $保利地产 sh600048$ $招商蛇口 sz001979$ ,总体来说，酒类板块放量杀跌了，中国石化放量杀跌，万科放量杀跌，银行个股中性，601开头的建筑大象们还可以，今天这么一杀，市场空头情绪浓了，但短期跌破2644点暂时不是那么容易的，今天这么一杀也算是和世界股市站在一起了，15号释放流动性，所以还是多关注一些真正的行业佼佼者们。银行，601建筑个股，8股方面，还是多关注实体业绩较好的公司。明天深证指数，中小板指数，创业板指数新低可期，今天8股没有杀跌，你敢说明天不杀？明天上证指数存在探底回升的概率很大，跌破2700点需要多头出拳反击。",,GD0zzl9cZ,600019,0,2018年10月08日 22:01,https://weibo.cn/comment/GD0zzl9cZ?uid=3984485691&rl=1,股馋
,中国股市真正厉害的有一种人：死守超短线的选股技巧，睡觉都是在挣钱#浙能电力 sh600023[股票]# #歌华有线 sh600037[股票]# #楚天高速 sh600035[股票]# 智超财经的秒拍视频 ​​​,,GCYWEfh6s,600023,0,2018年10月08日 17:52,https://weibo.cn/comment/GCYWEfh6s?uid=5524088589&rl=1,智超财经
,中国股市十大经典买卖铁律，精准买卖点尽收眼底！#浙能电力 sh600023[股票]# #歌华有线 sh600037[股票]# #楚天高速 sh600035[股票]# 智超财经的秒拍视频 ​​​,,GCYKwvQdf,600023,0,2018年10月08日 17:22,https://weibo.cn/comment/GCYKwvQdf?uid=5524088589&rl=1,智超财经
,总结的布林线选股技巧，牢记于心，日进斗金不是梦！#浙能电力 sh600023[股票]# #歌华有线 sh600037[股票]# #楚天高速 sh600035[股票]# 宜甲甲的秒拍视频 ​​​,,GCYFG0hAv,600023,0,2018年10月08日 17:10,https://weibo.cn/comment/GCYFG0hAv?uid=3972308486&rl=1,宜甲甲
,“MACD”背离的本质是什么？一旦读懂，股价将创历史新高！#浙能电力 sh600023[股票]# #华能水电 sh600025[股票]# #中远海能 sh600026[股票]# 宇默文评股的秒拍视频 ​​​,,GCXeVnRcC,600023,0,2018年10月08日 13:31,https://weibo.cn/comment/GCXeVnRcC?uid=6364562199&rl=1,宇默文评股
,中国股市炒股高手悟出的炒股铁律：只需3分钟你就学会高抛低吸#上海电力 sh600021[股票]# #山东钢铁 sh600022[股票]# #浙能电力 sh600023[股票]# 子茜财经的秒拍视频 ​​​,,GCYR9ieew,600023,0,2018年10月08日 17:38,https://weibo.cn/comment/GCYR9ieew?uid=6585090269&rl=1,子茜财经
,中国股市经历过两次牛市的投资者告诉你：周线选股技巧选黑马三要素#浙能电力 sh600023[股票]# #歌华有线 sh600037[股票]# #楚天高速 sh600035[股票]# 智超财经的秒拍视频 ​​​,,GCXP2jKSY,600023,0,2018年10月08日 15:00,https://weibo.cn/comment/GCXP2jKSY?uid=5524088589&rl=1,智超财经
,顶尖操盘手精心分享MACD实战技巧，一旦学会轻松买在起涨点！$山东钢铁 sh600022$ $浙能电力 sh600023$ $华能水电 sh600025$ $中远海能 sh600026$ 江雅凡分析的秒拍视频 ​​​,,GCYCTcAXx,600023,0,2018年10月08日 17:03,https://weibo.cn/comment/GCYCTcAXx?uid=5240737723&rl=1,江雅凡分析
,一旦参悟透MACD指标，买卖百试百灵 #浙能电力 sh600023[股票]# #歌华有线 sh600037[股票]# #楚天高速 sh600035[股票]# 宜甲甲的秒拍视频 ​​​,,GCY2X8eDF,600023,0,2018年10月08日 15:35,https://weibo.cn/comment/GCY2X8eDF?uid=3972308486&rl=1,宜甲甲
